成交编号,城市,区域,楼盘名称,户型,套内面积(㎡),建筑面积(㎡),建筑年代,朝向,楼层信息,装修情况,物业类型,产权年限,成交总价(万元),挂牌总价(万元),成交单价(元/㎡),带看次数,调价次数,成交周期(天)
HZ000001,杭州,临平区,万科小区13号,1室1厅,,203.89,2007.0,南北通透,中楼层,毛坯,洋房,70,398.07,404.87,21855.0,8,2.0,174.0
HZ000002,杭州,滨江区,保利小区41号,3室2厅,,167.68,1991.0,西,低楼层,豪装,洋房,70,645.7,695.75,45129.0,29,1.0,105.0
HZ000003,杭州,建德市,绿城小区27号,1室1厅,181.96,209.98,2001.0,南,顶楼,豪装,洋房,40,185.88,193.77,10215.0,35,,105.0
HZ000004,杭州,桐庐县,万科小区96号,2室1厅,84.0,94.88,1990.0,北,中楼层,精装,洋房,70,101.3,102.77,12060.0,7,6.0,58.0
HZ000005,杭州,钱塘区,金地小区21号,3室2厅,141.64,164.8,1993.0,东南,低楼层,精装,洋房,40,286.51,309.25,20228.0,25,3.0,141.0
HZ000006,杭州,建德市,金地小区64号,4室2厅,167.87,191.79,2017.0,,高楼层,简装,洋房,70,173.62,183.8,10343.0,22,5.0,16.0
HZ000007,杭州,萧山区,万科小区13号,3室2厅,92.11,104.88,1996.0,东,顶楼,简装,住宅,40,297.28,302.33,32274.0,18,4.0,16.0
HZ000008,杭州,临平区,万科小区37号,2室1厅,184.45,226.66,2013.0,北,顶楼,简装,洋房,70,410.99,435.28,22282.0,26,2.0,96.0
HZ000009,杭州,临安区,绿城小区74号,2室1厅,73.87,89.75,2019.0,西,高楼层,豪装,洋房,70,109.85,113.02,14871.0,13,0.0,
HZ000010,杭州,西湖区,金地小区13号,1室1厅,81.87,98.37,2011.0,北,高楼层,毛坯,住宅,40,422.86,445.62,51650.0,0,6.0,
HZ000011,杭州,临平区,金地小区35号,3室2厅,177.41,204.85,2011.0,南,低楼层,豪装,别墅,70,398.84,426.41,22481.0,9,7.0,42.0
